run_id,action_impact,action_type,action_details,action_details_short,metric,metric_score
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,accuracy_overall,0.8240799083546174
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,accuracy_overall_weighted,0.7213973799126638
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,f1,0.39814221652786674
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,fmi,0.4064805608782493
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,silhouette_overall,0.033770619191481124
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,homogeneity,0.2668349203326253
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,completness,0.3574368665626274
2912314e-a515-423,prep,Remove All stop terms from default list,Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't,d8fab23593f783d29d5c40a0fd926937,v_measure,0.30556126294775277
dc8dce44-c36c-456,prep,Add N stop words to default list,Added the following 176 stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't;feiter;canadian-bas;seaway;m.w;arabia';ore/bulk/oil;eldb;owen;two-month;spiral;england';dataflex;epitop;terminal/pl;thema;otain;woolworth;thunand;tangibl;puchas;gerold;burkhard;stra.o;tbc;sdi;ecuador;mike;madison;thoma;dunkin;subject;dickey;consumpt;bradford;sterling-target;mariano;stocker;coachmen;schwatz;cop;verdal;turgut;bally';worthless;tocom;schlecht;hanburi;complaint;sasco;syacmor;embezzl;ffmc;abbrevi;santand;could;bolivia;wyse.o;tenn.-bas;shp;ffmi;shawmut;wash.;consider;mri.b;japan-bas;suppoort;naphtha;z-seven;litig;reappear;unimpress;keltic;peroxid;moengo;non-round;sino-chilean;british-mad;monom;pre-chapt;louisiana-pacif;becuas;x-ray;ought;utilco;wirebar;greed;genex;grantor;weld;shiviyacu-23;injuct;handl;balfour;inertia;solv-ex;dechamp;payrol;heavier;outdoor;gain;mote;dublin;pportfolio;cleopatra;zentralsparkass;hci;donalda;petrochem;bounti;cornwal;petroleum-bas;fonderen;craft;inabl;coin-oper;previously-propos;deregul;stipul;non-socialist;flagler;one-for-thre;dickson;d-mo.;flink;shutdown;gienow;persecut;particular;cay;legg;nearer;input;alpha;uhco;censu;lastli;prevent;bangemann;orenda;self-support;comex;factual;juke.o;beam;microtel;fhlbb;swiss-bas;puriti;dumez;buyout;pharmacia;parini;bse;market;e.c;mnr;five-and-a-half;suppli;quebec;intract;czarnikow;psi;noncitru;punish;rospatch;cream;petb.br;mark/australian;unforeseen;mega;bass-l;liven;centre-right;rebas;axe;tranch,30538e2e6090877745a98701a0fd42b9,accuracy_overall,0.7424750078013093
dc8dce44-c36c-456,prep,Add N stop words to default list,Added the following 176 stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't;feiter;canadian-bas;seaway;m.w;arabia';ore/bulk/oil;eldb;owen;two-month;spiral;england';dataflex;epitop;terminal/pl;thema;otain;woolworth;thunand;tangibl;puchas;gerold;burkhard;stra.o;tbc;sdi;ecuador;mike;madison;thoma;dunkin;subject;dickey;consumpt;bradford;sterling-target;mariano;stocker;coachmen;schwatz;cop;verdal;turgut;bally';worthless;tocom;schlecht;hanburi;complaint;sasco;syacmor;embezzl;ffmc;abbrevi;santand;could;bolivia;wyse.o;tenn.-bas;shp;ffmi;shawmut;wash.;consider;mri.b;japan-bas;suppoort;naphtha;z-seven;litig;reappear;unimpress;keltic;peroxid;moengo;non-round;sino-chilean;british-mad;monom;pre-chapt;louisiana-pacif;becuas;x-ray;ought;utilco;wirebar;greed;genex;grantor;weld;shiviyacu-23;injuct;handl;balfour;inertia;solv-ex;dechamp;payrol;heavier;outdoor;gain;mote;dublin;pportfolio;cleopatra;zentralsparkass;hci;donalda;petrochem;bounti;cornwal;petroleum-bas;fonderen;craft;inabl;coin-oper;previously-propos;deregul;stipul;non-socialist;flagler;one-for-thre;dickson;d-mo.;flink;shutdown;gienow;persecut;particular;cay;legg;nearer;input;alpha;uhco;censu;lastli;prevent;bangemann;orenda;self-support;comex;factual;juke.o;beam;microtel;fhlbb;swiss-bas;puriti;dumez;buyout;pharmacia;parini;bse;market;e.c;mnr;five-and-a-half;suppli;quebec;intract;czarnikow;psi;noncitru;punish;rospatch;cream;petb.br;mark/australian;unforeseen;mega;bass-l;liven;centre-right;rebas;axe;tranch,30538e2e6090877745a98701a0fd42b9,accuracy_overall_weighted,0.5995633187772927
